Date,Open,High,Low,Close,Volume,Change,Daily_Return,Range,Range_Pct,Body_Pct,Close_Direction,Gap_Pct,RV20,ATR14,ATR_Pct,SMA20,SMA50,SMA200,EMA9,EMA21,RSI14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,BB_Width_Pct,High20,Low20,Dist_SMA50_Pct,Volume_SMA20,Volume_Ratio
2010-01-04,1096.8,1123.71,1093.73,1121.22,58227.9307,24.42,,29.98,2.7334,2.2265,1,0.0,,,,1121.22,1121.22,1121.22,1121.22,1121.22,0.0,0.0,0.0,0.0,,1121.22,,,1123.71,1093.73,0.0,58227.9307,1.0
2010-01-05,1121.09,1128.5,1115.54,1118.21,58227.9307,-2.88,-0.2685,12.96,1.156,0.2569,0,-0.0116,,12.96,1.159,1119.715,1119.715,1119.715,1120.618,1120.9464,0.0,-0.2401,-0.048,-0.1921,1123.9718,1119.715,1115.4582,0.7603,1128.5,1093.73,-0.1344,58227.9307,1.0
2010-01-06,1118.34,1140.32,1116.95,1138.1,58227.9307,19.76,1.7787,23.37,2.0897,1.7669,1,0.0116,1.4476,18.165,1.5961,1125.8433,1125.8433,1125.8433,1124.1144,1122.5058,86.8559,1.1612,0.1938,0.9674,1147.2848,1125.8433,1104.4018,3.809,1140.32,1093.73,1.0887,58227.9307,1.0
2010-01-07,1137.96,1138.88,1128.8,1131.58,58227.9307,-6.38,-0.5729,10.08,0.8858,0.5607,0,-0.0123,1.2789,15.47,1.3671,1127.2775,1127.2775,1127.2775,1125.6075,1123.3307,67.6071,1.7257,0.5002,1.2255,1145.7003,1127.2775,1108.8547,3.2686,1140.32,1093.73,0.3817,58227.9307,1.0
2010-01-08,1131.99,1139.34,1120.05,1137.8,58227.9307,5.81,0.5497,19.29,1.7041,0.5133,1,0.0362,1.0509,16.425,1.4436,1129.382,1129.382,1129.382,1128.046,1124.6461,73.2604,2.6445,0.9291,1.7154,1147.9057,1129.382,1110.8583,3.2803,1140.32,1093.73,0.7454,58227.9307,1.0
2010-01-11,1137.6,1161.82,1137.6,1151.91,58227.9307,14.31,1.2401,24.22,2.129,1.2579,1,-0.0176,0.9895,17.984,1.5612,1133.1367,1133.1367,1133.1367,1132.8188,1127.1246,80.8442,4.4598,1.6352,2.8246,1157.8924,1133.1367,1108.381,4.3694,1161.82,1093.73,1.6568,58227.9307,1.0
2010-01-12,1151.54,1158.05,1125.42,1128.56,58227.9307,-22.98,-2.0271,32.63,2.8336,1.9956,0,-0.0321,1.3734,20.425,1.8098,1132.4829,1132.4829,1132.4829,1131.9671,1127.2551,55.0205,3.9686,2.1019,1.8667,1155.3449,1132.4829,1109.6208,4.0375,1161.82,1093.73,-0.3464,58227.9307,1.0
2010-01-13,1128.46,1138.67,1119.01,1138.34,58227.9307,9.88,0.8666,19.66,1.7422,0.8755,1,-0.0089,1.2854,20.3157,1.7847,1133.215,1133.215,1133.215,1133.2416,1128.2628,60.3282,4.3186,2.5452,1.7734,1154.7825,1133.215,1111.6475,3.8064,1161.82,1093.73,0.4523,58227.9307,1.0
2010-01-14,1137.81,1146.26,1131.25,1142.71,58227.9307,4.9,0.3839,15.01,1.3192,0.4307,1,-0.0466,1.1914,19.6525,1.7198,1134.27,1134.27,1134.27,1135.1353,1129.5762,62.3152,4.8923,3.0146,1.8776,1155.4143,1134.27,1113.1257,3.7283,1161.82,1093.73,0.7441,58227.9307,1.0
2010-01-15,1142.49,1145.72,1127.01,1130.95,58227.9307,-11.54,-1.0291,18.71,1.6377,1.0101,0,-0.0193,1.1925,19.5478,1.7284,1133.938,1133.938,1133.938,1134.2982,1129.7011,54.9136,4.3478,3.2813,1.0666,1153.9833,1133.938,1113.8927,3.5355,1161.82,1093.73,-0.2635,58227.9307,1.0
